query_code,query_name,matched_code_1,matched_name_1,score_1,matched_code_2,matched_name_2,score_2,matched_code_3,matched_name_3,score_3
06681 0,在庫野菜,141013,惣菜野菜豆,0.17325,530103,野菜生活100ml,0.16377,530103,野菜生活100ml,0.16377
50518 0,☆業務用抹茶HT,130440,抹茶,1.0,150324,抹茶塩,0.62715,130664,くず抹茶,0.50142
17176 0,一味唐辛子,150321,一味,0.43769,150311,粉辛子,0.27768,150310,練り辛子,0.2242
1111400,☆大冷豚バラ下煮,20210,豚バラスライス2㎜,0.29627,20213,豚バラ小間,0.27271,20212,豚バラ角切り30g,0.26055
51011 0,☆ミリベジさといも,170533,やさしい素材温さといも,0.49417,170533,やさしい素材温さといも,0.49417,170613,ＳＦそのままさといも12,0.36241
21071 0,揚げ茄子味噌和え,55028,茄子,0.37253,100201,赤味噌,0.19402,100200,米味噌,0.1846
51604 0,☆ごはんにあうｿｰｽたまご,170563,やさしい素材たまご,0.36973,170563,やさしい素材たまご,0.36973,150617,桜ごはん（炊き込み）,0.30174
50126 0,☆ｴﾋﾞﾎﾞｰﾙ(15g＊50）,140128,ミートボール,0.35012,140128,ミートボール,0.35012,140105,チキンボール,0.3311
5173311,黒コッペ（クリーム入り）,90322,コッペパン（冷）,0.49736,90322,コッペパン（冷）,0.49736,80483,アプリコット缶,0.15384
134112,◎ﾏﾙﾅｶ業務用そうめん,90505,梅そうめん（ゆで）,0.44478,90504,梅そうめん（乾）,0.44478,90500,そうめん(乾）,0.43221
06153 0,☆玉ねぎ,51062,赤玉ねぎ,0.7283,51059,玉ねぎ　スライス　5ｍｍ,0.61866,50304,玉ねぎスライス（冷）5-7mm,0.61866
51527 0,☆ﾊﾞﾊﾞﾛﾘｱ(ﾖｰｸﾞﾙﾄ),130532,ババロリア（バニラ）,1.0,130530,ババロリア（ストロベリー）,1.0,130531,ババロリア（チョコ）,1.0
10647 0,秋鮭フィレ,10640,秋鮭骨無60ｇ,0.3183,10640,秋鮭骨無60ｇ,0.3183,10641,秋鮭骨無70ｇ,0.3183
102615,★やわらか食パン6,90210,食パン,0.52372,90320,食パン8枚切*2（冷）,0.39687,90211,食パン6枚切,0.39687
50422 0,☆感動素材 JAS標準ｽﾄﾛﾍﾞﾘ,550291,ストロベリームース45g,0.36039,550291,ストロベリームース45g,0.36039,40412,アイスストロベリー,0.34163
5144010,彩り春雨サラダ,141106,彩り春雨サラダ,1.0,70410,春雨5cmカット,0.42787,141107,春雨サラダさっぱりタイプ,0.41843
50338 0,☆とろけるハヤシフレーク,150421,とろけるハヤシフレーク,1.0,150420,ハヤシフレーク,0.73283,150401,とろけるｶﾚｰﾌﾚｰｸ甘口,0.44954
50038 0,☆彩り野菜ミックス,50551,和風野菜ミックス,0.59247,50553,中華野菜ミックス,0.59128,40330,ミックスチーズ,0.32432
5173014,★ずっしりコッペいちご,170554,やさしい素材いちご,0.3774,170554,やさしい素材いちご,0.3774,80255,いちご（冷）,0.3774
50069 0,☆楽らく骨なしさわら60,170505,やさしい素材さわら,0.51909,170505,やさしい素材さわら,0.51909,510154,冷)ブリ骨なし70g,0.21883
21158 0,便利なインゲンゴマ和え,50402,インゲンカット（冷）,0.45512,50401,インゲン（冷）,0.45512,50404,インゲン（冷）刻み5mm,0.31037
50349 0,☆いりこ菜めし,150602,いりこ菜飯,0.59523,150611,ふりかけ　いりこ,0.31097,100225,1食減塩いりこみそ,0.26545
17218 0,コチュジャン,150302,コチジャン,0.50028,150301,甜麺ジャン,0.30828,90430,チャンポン（冷）,0.18155
52017 0,☆しいたけｽﾗｲｽ(5㎜),50715,干しいたけスライス,0.90038,50713,干しいたけ,0.54202,50710,生しいたけ(8枚入),0.5274
5100922,ﾎｳﾚﾝ草とコーンソテー,J570341,ほうれん草とﾍﾞｰｺﾝのﾊﾞﾀｰ風味ｿﾃｰ,0.21908,90701,ホールコーン（冷）,0.21198,90700,コーンフレーク,0.18942
11218 0,☆<F日給>手羽元(31/33)約,20161,手羽元,1.0,90625,手まり麩,0.10108,500131,お手軽ホットロール56g*5(ﾔﾏｻﾞｷ),0.06855
50185 0,★業務用 ごぼう巻(25g),50390,ごぼう,0.68066,170532,やさしい素材温ごぼう,0.46942,170532,やさしい素材温ごぼう,0.46942
50043 0,☆ﾊﾞﾅﾒｲむきえび41/50,170509,やさしい素材えび,0.31374,170509,やさしい素材えび,0.31374,80200,バナナ,0.23387
50273 0,☆黒ごま(いり),130838,黒ごまNプリンMix（レシピ）,0.62485,130536,黒ごまプリンの素（ハウス）,0.52437,120101,いりごま　黒,0.31913
51008 0,☆南瓜ｽﾗｲｽ(8㎜),50144,南瓜スライス（冷）,1.0,50140,南瓜,0.50754,20203,豚スライス（しゃぶ用）,0.39968
52184 0,☆おくらと湯葉のおひたし,570143,小松菜のおひたし,0.41527,570144,菜の花おひたし(ﾌｰｽﾞﾗﾝﾄﾞ),0.3441,J570339,柔らか筍と菜の花のおひたし,0.32073
18015 0,Ｊﾐｰﾄﾎﾞｰﾙﾀﾚなし（約75）,140128,ミートボール,0.66236,140128,ミートボール,0.66236,150454,ミートソース,0.24297
06245 0,☆ピーマン　Ｍサイズ,50130,ピーマン,0.57153,50131,赤ピーマン,0.44981,50131,赤ピーマン,0.44981
5021612,ＪＦＳＡｻｻﾐﾌﾗｲ,20130,ササミミンチ,0.40311,140330,柱フライ,0.25819,140330,柱フライ,0.25819
7000312,★ＪＦＳＡ白身魚フライ40,140302,白身魚フライ30ｇ,1.0,140302,白身魚フライ30ｇ,1.0,170502,やさしい素材白身魚,0.68623
5216422,※貝柱風味海宝フライ,10344,貝柱（すし）,0.39262,140330,柱フライ,0.27955,140330,柱フライ,0.27955
10416 0,※ｶﾆ入りｼｭｰﾏｲ,570127,冷)ｼｭｰﾏｲ18g(ﾆｯｽｲ),0.7435,140167,カニシュウマイ14g,0.62815,140167,カニシュウマイ14g,0.62815
