query_code,query_name,matched_code_1,matched_name_1,score_1,matched_code_2,matched_name_2,score_2,matched_code_3,matched_name_3,score_3
55082k0,人参いちょう切冷凍,170518,やさしい素材人参,0.346,170518,やさしい素材人参,0.346,50100,人参,0.346
56069k0,理研鶏ガラスープ,150256,塩ラーメンスープ,0.183,150250,醤油ﾗｰﾒﾝｽｰﾌﾟ,0.166,150251,味噌ラーメンスープ,0.163
55833k0,和ｻﾗﾀﾞ うの花,141007,うの花,0.548,50332,サラダ菜 (個）,0.289,110101,サラダ油（缶）,0.287
55234k0,きゅうり（Ｂ品）,170553,やさしい素材きゅうり,1.0,170553,やさしい素材きゅうり,1.0,55022,きゅうり,1.0
55012k0,JFSA三色豆,100655,三色豆煮豆,0.73,60203,三色寒天缶,0.365,140505,三色いなり40ｇ*25,0.335
55409k0,JFSAはんぺんR(個包装),10450,はんぺん,1.0,10450,はんぺん,1.0,570188,冷)ﾁｰｽﾞはんぺんﾌﾗｲ65g,0.617
55530k0,JFSAｼｭﾚｯﾄﾐｯｸｽﾁｰｽﾞ(青),40330,ミックスチーズ,0.663,40301,ダイスチーズ(4mｍ）,0.35,40352,ダイスチーズ（8㎜）,0.35
55059k0,ミックスベジタブル,50550,ミックスベジタブル,1.0,80263,ミックスベリー（冷）,0.481,130542,フルーチェ　ﾐｯｸｽﾍﾞﾘｰ,0.348
55719k0,●ｵﾆｵﾝ&ｺｰﾙｽﾛｰｻﾗﾀﾞ,570335,オニオンリング　20g,0.396,570335,オニオンリング　20g,0.396,110210,ｺｰﾙｽﾛｰﾄﾞﾚﾂシング,0.389
55222k0,大根（Ｂ品）,50340,大根,1.0,J570347,桜大根　JFSA,0.554,50345,切干大根,0.481
56410k0,冷凍ぶなしめじ,540129,冷)ぶなしめじｶｯﾄ500g,0.762,50720,しめじ,0.671,51091,しめじ　1㎝カット,0.671
55228k0,えのき,50700,えのき,1.0,50706,刻みえのき（冷）,0.619,51092,えのき　1/2ほぐし,0.551
56340k0,和さらだ里芋サラダ,70300,里芋,0.322,70301,里芋M（冷）,0.322,70302,里芋ハーフ（冷）,0.322
55785k0,やわらか杏仁,130539,やわらか杏仁の素,0.806,90133,やわらかもち35g,0.396,170350,やわらかアップ,0.361
55540k0,ｺﾝｿﾒｽｰﾌﾟJ＜粉末＞,150107,コンソメ,0.562,560108,味コンソメ(味の素),0.447,560109,チキンコンソメ(ﾏﾙﾊﾁ村松),0.408
55599k0,ﾎﾜｲﾄﾍﾟｯﾊﾟｰ  L缶(ﾊﾟｳﾀﾞｰ),150430,ホワイトソース＃２,0.417,50462,ホワイトアスパラ缶,0.368,90304,ホワイトブレッド,0.368
56301k0,400ｇ絹とうふ,510169,冷)ふんわりお魚とうふ揚20g,0.316,510170,冷)お魚とうふ揚丸型ﾌﾟﾚｰﾝ50g,0.254,510170,冷)お魚とうふ揚丸型ﾌﾟﾚｰﾝ50g,0.254
55451k0,＜F＞鶏ﾓﾓｶｯﾄ(10g),J510319,鶏モモｶｯﾄ1.5㎝角＜Ｆ日給＞,0.695,540100,冷)にらｶｯﾄ5cm,0.213,50162,小松菜（冷）ｶｯﾄIQF15mm,0.203
55167k0,V揚げﾅｽ(乱切り),100302,刻み揚げ,0.21,510168,さつま揚げｽﾗｲｽ,0.183,570170,冷)野菜かき揚げ30g,0.174
55708k0,JFSA標準ﾄﾏﾄｹﾁｬｯﾌﾟﾁｭｰﾌﾞ,150109,ケチャップ,0.54,170514,やさしい素材トマト,0.31,170514,やさしい素材トマト,0.31
55826k0,日清濃口調合ごま油,110103,調合ごま油,0.652,110104,純正ごま油,0.235,150101,濃口醤油,0.225
55627k0,四川豆板醤,150300,豆板醤　,0.657,130660,ミニ今川焼（こしあん）,0.085,130660,ミニ今川焼（こしあん）,0.085
55766k0,BP JFSAｼﾞｬｰﾏﾝﾎﾟﾃﾄ,570145,ジャーマンポテト(新進),1.0,50130,ピーマン,0.311,70104,ハッシュブラウンポテト,0.298
55600k0,ﾊﾟｾﾘ L缶(ﾁｯﾌﾟ),50250,パセリ,1.0,50251,粉パセリS缶,0.742,50500,セロリ,0.199
55093k0,ﾌﾞﾛｯｺﾘｰSS冷凍,J570359,ブロッコリーIQF　500ｇ,1.0,50191,ブロッコリー（冷）,1.0,50190,ブロッコリー,1.0
55945k0,JFSAﾗｲﾄﾂﾅﾌﾚｰｸR500ｇ,10320,ツナフレーク,0.764,150400,カレーフレーク,0.359,10142,鮭フレーク,0.357
55615k0,JFSAごまﾄﾞﾚｯｼﾝｸﾞR,110200,ドレッシング,0.735,110201,白ドレッシング,0.6,560171,QP中華ドレッシング,0.55
56006k0,豆苗,50505,豆苗,1.0,100100,大豆,0.149,100600,小豆(干),0.14
56064k0,鶏卵(ﾊﾟｯｸ)MS,30100,鶏卵,1.0,30100,鶏卵,1.0,30102,卵白,0.283
56317k0,Vにんじん千切り(IQF),170523,やさしい素材温にんじん,0.537,170523,やさしい素材温にんじん,0.537,170538,やさしい素材Ｒとけないにんじん,0.409
55195k0,ｿﾌﾄな 切干大根煮,50345,切干大根,0.605,141000,切干大根炒め煮,0.406,J570357,ソフトなふきの煮物,0.291
55380k0,ごちそう海老ｶﾂ(55g),140321,ごちそうエビフライ２Ｌ　,0.383,140321,ごちそうエビフライ２Ｌ　,0.383,140325,海老かき揚げ,0.177
55134k0,トマト　Ｍ　個,50350,トマト,1.0,50350,トマト,1.0,170514,やさしい素材トマト,1.0
56342k0,あさりとｷｬﾍﾞﾂの生姜和え,J570340,あさりとキャベツの生姜和え,1.0,50320,キャベツ,0.397,50325,キャベツ（冷）,0.397
55805k0,ﾌﾟﾘﾝﾐｯｸｽ,130535,プリンミックス,1.0,550304,プリン60ｇ（フレック）,0.53,130500,プリン,0.53
55817k0,ｾﾚｸｼｮﾝ ﾌﾛｰｽﾞﾝﾎｲｯﾌﾟ,40142,フローズンホイップ,0.735,40141,ホイップクリーム,0.297,80285,レーズン,0.274
56085k0,豆乳まんじゅう白２０ｇ,550233,水まんじゅう（こしあん）26g,0.542,550233,水まんじゅう（こしあん）26g,0.542,130677,蒸しまんじゅう（抹茶）,0.492
55545k0,中華味(顆粒),150210,中華味,1.0,90440,中華麺（生）,0.382,90445,中華麺（冷）,0.382
55062k0,絹さやえんどう（冷凍）,50201,絹さや（冷）,0.563,50202,絹さやハーフカット（冷）,0.563,50200,絹さや,0.563
56185k0,焼餃子（肉）焼調理済ｽﾁ,140154,餃子17ｇ,0.296,140154,餃子17ｇ,0.296,140153,水餃子16g,0.194
55966k0,JFSA穀物酢,150104,酢,0.33,150134,黒酢,0.169,90122,五穀米,0.168
55827k0,ﾗｰ油31ｇ,110106,ラー油,1.0,110107,ラード,0.276,90420,ラーメン（冷）,0.239
55081k0,Vﾋﾟｰﾏﾝ千切りﾐｯｸｽ,51077,ピーマン　千切り3ｍｍ,0.755,50130,ピーマン,0.471,50134,ﾐｯｸｽﾋﾟｰﾏﾝｽﾗｲｽ（冷）,0.437
55936k0,便利な小松菜の煮びたし,50160,小松菜,0.391,50161,小松菜IQF（冷）,0.391,51085,小松菜　カット20ｍｍ,0.391
55497k0,鶏卵(ﾊﾟｯｸ)M,30100,鶏卵,1.0,30100,鶏卵,1.0,30102,卵白,0.283
55255k0,JFSA徳用焼ききざみのり,60110,きざみのり,0.785,60111,もみのり,0.377,20413,きざみハム,0.343
55201k0,JFSA青かっぱ漬,50662,青かっぱ漬け,0.897,540116,赤かっぱ漬,0.708,141107,春雨サラダさっぱりタイプ,0.133
55244k0,乾燥裏白きくらげ,50772,白きくらげ,0.825,50770,きくらげ,0.686,50771,きくらげスライス,0.468
56401k0,JFSAおろしにんにく,50541,おろしにんにく,1.0,50531,おろし生姜,0.303,50342,おろし大根（冷）,0.3
55411k0,白身ﾌﾗｲ60ｇ,140300,白身フライ60ｇ,1.0,140300,白身フライ60ｇ,1.0,140302,白身魚フライ30ｇ,0.461
